mag,n,seed,score
1,5,1,0.360435
1,5,0,0.301949
1,25,0,0.25309
1,25,1,0.257677
1,5,2,0.448354
1,45,1,0.25274
1,45,0,0.24388
1,25,2,0.248599
1.5,5,0,0.321085
1,65,0,0.240143
1,45,2,0.249978
1,85,0,0.238477
1,65,1,0.243052
1.5,5,1,0.384146
1,85,1,0.243032
1.5,25,0,0.25631
1,65,2,0.239766
1.5,45,0,0.25123
1.5,25,1,0.256241
1.5,5,2,0.369157
1,85,2,0.240706
1.5,65,0,0.242685
1.5,45,1,0.247685
1.5,25,2,0.261123
2,5,0,0.38875
1.5,85,0,0.241027
1.5,45,2,0.24697
1.5,65,1,0.243922
2,5,1,0.354483
2,25,0,0.256436
1.5,85,1,0.239601
1.5,65,2,0.240431
2,45,0,0.247917
2,25,1,0.25645
2,5,2,0.331148
2,45,1,0.240631
2,65,0,0.240276
1.5,85,2,0.241196
2,25,2,0.258428
2.5,5,0,0.39
2,85,0,0.241497
2.5,25,0,0.25921
2,65,1,0.24201
2,45,2,0.242112
2.5,5,1,0.34663
2.5,45,0,0.245602
2,85,1,0.245682
2,65,2,0.236169
2.5,25,1,0.254101
2.5,5,2,0.351273
2,85,2,0.242094
2.5,25,2,0.251643
2.5,65,0,0.240307
2.5,45,1,0.250005
2.5,85,0,0.237997
2.5,65,1,0.236523
2.5,45,2,0.247533
2.5,65,2,0.244404
2.5,85,1,0.238851
2.5,85,2,0.23719
